k,silhouette_cosine,calinski_harabasz,davies_bouldin,inertia,rank_sil,rank_ch,rank_db,rank_sum,n_rows_diag,model_key,selected_k,auto_k_ranked,selected_mode
2,0.13803310692310333,326.92303255589405,3.4492342903602906,1425.7386474609375,1.0,1.0,5.0,7.0,4000,bertimbau,7,4,fixed
4,0.10358972102403641,244.88110128521558,2.9268955593435533,1302.8092041015625,2.0,2.0,1.0,5.0,4000,bertimbau,7,4,fixed
6,0.07164616137742996,191.21113198126298,3.277419203880927,1244.438720703125,3.0,3.0,3.0,9.0,4000,bertimbau,7,4,fixed
7,0.06894580274820328,172.26885208046502,3.2585810075596626,1225.1785888671875,4.0,4.0,2.0,10.0,4000,bertimbau,7,4,fixed
8,0.06628315895795822,156.11116680683637,3.3305797223602527,1210.860107421875,5.0,5.0,4.0,14.0,4000,bertimbau,7,4,fixed
10,0.05972884222865105,131.98737985742994,3.5094667143570675,1188.4908447265625,6.0,6.0,6.0,18.0,4000,bertimbau,7,4,fixed
12,0.049772121012210846,115.84255772960859,3.541574166684663,1168.8470458984375,7.0,7.0,7.0,21.0,4000,bertimbau,7,4,fixed
2,0.19797882437705994,474.470483098252,2.8683460534375436,2387.087158203125,1.0,1.0,2.0,4.0,4000,multilingual_minilm,7,2,fixed
4,0.15062905848026276,299.0214897493586,3.1362153533256785,2180.80859375,2.0,2.0,7.0,11.0,4000,multilingual_minilm,7,2,fixed
6,0.10861703008413315,233.842916107319,3.070284026337227,2065.669189453125,3.0,3.0,6.0,12.0,4000,multilingual_minilm,7,2,fixed
7,0.10449402779340744,210.1402961826271,3.0462118960301874,2029.5291748046875,5.0,4.0,5.0,14.0,4000,multilingual_minilm,7,2,fixed
8,0.10657785087823868,194.29173375175304,2.997957614118565,1991.7921142578125,4.0,5.0,4.0,13.0,4000,multilingual_minilm,7,2,fixed
10,0.09455323964357376,169.73745651061373,2.891396151123497,1931.0469970703125,7.0,6.0,3.0,16.0,4000,multilingual_minilm,7,2,fixed
12,0.09763556718826294,151.4514876583041,2.8509899261219656,1883.5404052734375,6.0,7.0,1.0,14.0,4000,multilingual_minilm,7,2,fixed
2,0.2613014578819275,459.8441959888365,2.8158642177052946,183.41726684570312,1.0,1.0,1.0,3.0,4000,openclip_text,7,2,fixed
4,0.09342441707849503,290.1201325833079,3.0718885392909008,167.9358673095703,4.0,2.0,7.0,13.0,4000,openclip_text,7,2,fixed
6,0.11188092082738876,219.73648378853093,2.99287482480849,160.39236450195312,3.0,3.0,5.0,11.0,4000,openclip_text,7,2,fixed
7,0.11770850419998169,200.2214119606308,2.99093382482411,157.21434020996094,2.0,4.0,4.0,10.0,4000,openclip_text,7,2,fixed
8,0.06061817705631256,184.77063459609747,2.9688554881546514,154.4668731689453,5.0,5.0,2.0,12.0,4000,openclip_text,7,2,fixed
10,0.03614063933491707,158.84874014425972,3.0638548623675206,150.5652618408203,7.0,6.0,6.0,19.0,4000,openclip_text,7,2,fixed
12,0.03822316974401474,141.87400080330323,2.9796091151107063,146.99171447753906,6.0,7.0,3.0,16.0,4000,openclip_text,7,2,fixed
