x,y,cluster,sentiment,topic_proxy,review_id,review_text
0.03462182,-0.373429,0,Positive,delivery,e64fb393e7b32834bb789ff8bb30750e,recebi bem antes do prazo estipulado
0.22723682,-0.16980258,4,Positive,other,f7c4243c7fe1938f181bec41a392bdeb,parabéns lojas lannister adorei comprar pela internet seguro e prático parabéns a todos feliz páscoa
-0.10585991,0.24117112,3,Positive,other,8670d52e15e00043ae7de4c01cc2fe06,aparelho eficiente no site a marca do aparelho esta impresso como desinfector e ao chegar esta com outro nome atualizar com a marca correta uma vez que é o mesmo aparelho
0.06383209,-0.23594126,5,Positive,price,4b49719c8a200003f700d3d986ea1a19,mas um pouco travando pelo valor ta boa
0.12997949,0.42381898,6,Positive,delivery,3948b09f7c818e2d86c9a546758b2335,vendedor confiável produto ok e entrega antes do prazo
-0.27250478,-0.2069301,2,Negative,other,9314d6f9799f5bfba510cc7bcd468c01,gostaria de saber o que houve sempre recebi e essa compra agora me decpcionou
0.2814558,-0.42842224,5,Positive,other,0e0190b9db53b689b285d3f3916f8441,obrigado pela atençao amim dispensada
-0.12133498,0.4017729,6,Positive,delivery,fe3db7c069d694bab50cc43463f91608,a compra foi realizada facilmente a entrega foi efetuada muito antes do prazo dado o produto já começou a ser usado e até o presente sem problemas
0.054256782,-0.028992705,3,Positive,price,e07eee7ad7666276bd8b27fbd83fd1ff,relógio muito bonito e barato
-0.47308433,-0.2557149,3,Negative,other,2c5e27fc178bde7ac173c9c62c31b070,não gostei comprei gato por lebre
-0.29708028,0.18878919,2,Negative,delivery,58044bca115705a48fe0e00a21390c54,sempre compro pela internet e a entrega ocorre antes do prazo combinado que acredito ser o prazo máximo no stark o prazo máximo já se esgotou e ainda não recebi o produto
-0.2528069,0.020118468,0,Positive,delivery,c92cdd7dd544a01aa35137f901669cdf,recebi exatamente o que esperava as demais encomendas de outros vendedores atrasaram mas esta chegou no prazo
0.22435434,0.1320003,4,Positive,other,b193ff3c9f32a01f3a0d9ae26b94d244,tô completamente apaixonada loja super responsável e confiável
-0.35071594,-0.3761936,2,Negative,other,9fd59cd04b42f600df9f25e54082a8d1,nada de chegar o meu pedido
0.40066773,-0.26541153,5,Positive,other,86c5cfa7fcbde303f704b60a78ced7d6,muito bom muito cheiroso
0.11418302,-0.0056072623,4,Positive,delivery,890ec1767be8eb104877db6d68eaade5,otimo vendedor chegou ate antes do prazo adorei o produto
0.12183659,0.2044546,4,Positive,other,7d9ac3e98adc0c8ad579e6a2257d79f9,processo de compra tranquilo e eficiente
0.060939208,-0.40862995,5,Positive,other,c41bd21983e298a240410ebb391bf075,tomara q dure pois é de pelinho
-0.422096,-0.20860296,3,Negative,other,e233e51d11511bf30e568c76360ace52,recebi somente controle midea split estilo faltou controle remoto para ar condicionado consul
0.19819672,-0.18177113,0,Positive,delivery,6a0969d0769d2f3ff6438809a1cc455e,ocorreu tudo como contratado sendo a entrega realizada antes do prazo estou satisfeita
0.27008265,-0.53875375,5,Positive,other,8a64945e89526e68bc16383391590232,amei achei lindo muito delicado adorei
0.17792471,0.39914355,4,Positive,delivery,c0dbf9a325d2a2fece43873be47191e1,ótima loja para parceria rápidíssima produtos bem embalados e de qualidade só o custo do frete que foi meio azedo
0.23364697,0.008275919,4,Positive,other,109b5ce2dd11bb8460eff3b86da6fefc,recomendo o vendedor
-0.36606556,0.0722549,2,Negative,delivery,6d06808638ec0701bccd70bc8d462c28,o produto não chegou no prazo estipulado e causou transtorno pq programei a viagem de férias do meu filho baseado no prazo moro na bahia e ele em cuiabá sozinho agora a casa está vazia
0.18071754,0.21815479,6,Positive,product,750d4311e8ddb6cba549ee86f06f0cca,produto entregue como solicitado e com muita brevidade parabéns
-0.23374444,-0.18287171,2,Neutral,other,8b230a1373c6dc4bd867099fda1d7039,eu comprei duas unidades e só recebi uma e agora o que faço
-0.15653202,0.08796074,3,Neutral,product,cb2fc3e5711b5ae85e0491ee18af63ed,produto bom porém o que veio para mim não condiz com a foto do anúncio
-0.30844098,0.19992128,3,Negative,product,60c714ed14cef913944a3147094a4742,produto muito inferior mal acabado
0.12133102,-0.40560183,5,Positive,other,c45811d9f90e22a81155b3a1e4a5c2e8,o kit mochila patrulha canina é lindo meu netinho vai amar obrigada
-0.019789554,-0.12015355,0,Neutral,delivery,0bd4dcc4f6c4621baf37f73495cad8c4,entrega no prazo
0.18790777,0.14599755,4,Positive,delivery,888f11883ff85fa5c07e6ae1192d85c4,cumpriu o prometido na compra e com o uma entrega em tempo satisfatório
-0.15658411,-0.27569753,0,Negative,support,65dfeb60c40e3cbb0a1838285d86f885,pedi reembolso e sem resposta até momento
0.30927038,-0.32157677,0,Positive,other,50a1eaa2f96d6f3e02d0cd68d92bab75,super rápido
0.33487475,-0.4600478,5,Positive,other,97d4feff1fd7129bee6cde095b9dac2a,estao de parabens sempre chega com muiiita antecedencia muito obrigada
0.40836984,-0.3820791,5,Positive,other,1692078634b63c7f25aa90ee746ec498,ok recomendo
-0.40835065,0.029042505,3,Neutral,product,ff722b4c68783a4459a3adb9bb4e1d0d,produto chegou mas meu pc não conseguiu reconhecer as portas usb
0.2663269,0.38046378,6,Positive,delivery,8055e963f26f70c406ca517b2c2848e6,produto de muito boa qualidade chegou antes do prazo prometido
-0.19081865,0.050708465,3,Negative,other,ae728c1061bf163b4bd256ad9ee0bb83,este foi o pedido balde com peças blocos de montar un r cada não foi entregue vendido e entregue targaryen tapete de eva n letras peças crianças un r este foi entreg
0.41419196,-0.3489922,5,Positive,delivery,41926e45719f9b923357ea3bb222195f,entrega muito rápida parabéns
-0.18288705,-0.023312546,3,Negative,other,72730619a00e0ecdecf0a4ff862d8996,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois
-0.02887088,-0.20739064,5,Positive,product,c5d83c2523ef15209c8faf5133a7bafb,estava faltando apenas um produto eu recebi hoje muito obrigada tudo certo att elenice
0.12897761,0.21607572,6,Positive,delivery,766fc608e4f2683020fb0a121d9db23e,a bolsa térmica além de linda é super espaçosa produto de acordo com o anunciado e a entrega super rápida entregou bem antes do prazo
0.03219025,-0.15472053,0,Negative,delivery,5c37d7ba6ef2f031c34bb4fda3454018,demorou de mais pra entrega
0.10560541,-0.061027206,0,Positive,delivery,83414f98136ce687f7eb69e555b2519c,super rapido a entrega chegou antes da data
-0.5185989,0.1543391,2,Neutral,delivery,46d8249ea59101c7288936c3e6f155d7,a entrega foi dividida em duas não houve comunicado do loja cheguei a pensar que só haviam enviado parte do produto
-0.29036796,-0.16383874,3,Negative,other,346317f9aff540395fe46893611854f8,não funciona não faz sincronismo
0.3269685,-0.06517261,4,Positive,other,2685a4800004a12ec09d27264ff1915f,recomendo a todos os clientes
0.29404962,0.001711145,1,Positive,product,a55012f5c7e74353e92986be15d133b6,gostei muito do jogo de banho a estampa florida o bordado tudo muito bonito ótimo produto
-0.21426773,-0.24951437,3,Negative,other,487f8ff16eaf366dc7c01652202048c3,chegou apenas uma peça mas na nota e na garantia constam as duas joias
-0.46127492,0.14225283,2,Negative,delivery,ef8ae544c432bb1053ba5990bd0d6227,eu não recebi o produto e consta no sistema que eu recebi além de pagar caro do frete
-0.30073673,0.0143593475,3,Negative,other,aaab917291fea34988b9a0cb60e0716f,comprei o relógio unissex e enviaram um relógio feminino bem menor que as especificações do anúncio
0.06713177,0.070408426,4,Positive,other,3f73914ab5fc1cd68ad6757c93644349,sempre compro na lannister pra mim é a melhor loja on line
0.45120275,0.34958395,1,Positive,product,e2fd85e5df711bd91e6e96e13c741843,produto de qualidade excelente
0.23764242,-0.04501728,4,Positive,price,42ae74a43661be8587b2e2db054179db,ótimo custo benefício
0.3212372,-0.44383603,5,Positive,delivery,79927442ebcbf70b2021e1339bb9a51b,gostei da atenção com a entrega
-0.34732562,-0.10431171,3,Positive,product,14613df954694f243dedeaa2c8a3a5c2,se fosse vidro tinha quebrado veio na caixa sem nenhuma proteção por dentro a caixa estava muito amassada desculpe mas gosto de comprar de vcs
-0.37561142,-0.35880488,3,Negative,other,5f938e5f5f2e9a75710b54feeb9ea610,a peça não serviu
-0.34642756,-0.036507554,2,Negative,product,d7ea05bb4f9c77d606fd90b1a27e317d,comprei o produto dia de fevereiro e hoje dia de marco não fora entregue na minha residência não sei se os correios desse brasil e péssimo ou foi a própria loja que demorou postar
-0.3132757,0.27928117,2,Negative,delivery,185cb85ede91009d7a8e685687c037ee,fiz minha compra faz dias e não recebi ainda meu produto precisa melhorar nas entregas
-0.06942572,-0.34617698,0,Positive,price,0c9b6ca9b3beaf0fd5d621f63844ea01,espero receber esta semana o que não seria tão extravagante porém mais atrazo do que isso me faria desistir do baratheon
0.14870636,-0.23351479,4,Positive,delivery,c399eafa15aafaecdd1d9008f5b34ed6,entregou no prazo certo fiquei feliz com a compra que fiz
0.32501698,-0.37643698,5,Positive,other,8ef36616bef00398b6e413c124f436c8,lindo relógio adorei
-0.41073442,0.029426806,2,Neutral,support,57e994485c2ebd293e4fa9cd62e5bb96,comprei dois lustres pendentes com a parceira targaryen e só me enviaram um lustre abri reclamação mas ainda não recebi resposta aguardo solução por parte de lojas lannister
