review_id,snippet_pt,review_creation_date,snippet_en
e64fb393e7b32834bb789ff8bb30750e,Recebi bem antes do prazo estipulado.,2017-04-21,I received it well before the stipulated time.
f7c4243c7fe1938f181bec41a392bdeb,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,2018-03-01,"Congratulations Lannister stores I loved shopping online, safe and practical Congratulations to all Happy Easter"
8670d52e15e00043ae7de4c01cc2fe06,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,2018-05-22,efficient device. on the website the brand of the device is printed as 3disinfector and when it arrives it has another name...update with the correct brand since it is the same device
4b49719c8a200003f700d3d986ea1a19,"Mas um pouco ,travando...pelo valor ta Boa.
",2018-02-16,But a little slowing down...for the price it's good.
3948b09f7c818e2d86c9a546758b2335,"Vendedor confiável, produto ok e entrega antes do prazo.",2018-05-23,"Reliable seller, ok product and delivery on time."
9314d6f9799f5bfba510cc7bcd468c01,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",2018-01-18,"I WOULD LIKE TO KNOW WHAT HAPPENED, I ALWAYS RECEIVED AND THIS PURCHASE NOW DISAPPOINTED ME"
0e0190b9db53b689b285d3f3916f8441,obrigado pela atençao amim dispensada,2017-12-01,thanks for the attention given to me
fe3db7c069d694bab50cc43463f91608,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",2018-03-23,"The purchase was made easily.
Delivery was made much earlier than the given deadline.
The product has already started to be used and up to the present,
no problem."
e07eee7ad7666276bd8b27fbd83fd1ff,relógio muito bonito e barato.,2018-03-29,very nice and cheap watch.
2c5e27fc178bde7ac173c9c62c31b070,Não gostei ! Comprei gato por lebre,2017-12-13,Did not like ! I bought a pig
58044bca115705a48fe0e00a21390c54,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",2018-04-08,"I always buy online and delivery occurs before the agreed deadline, which I believe is the maximum deadline. At stark, the deadline has already expired and I still haven't received the product."
c92cdd7dd544a01aa35137f901669cdf,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",2018-06-07,"I received exactly what I expected. Other orders from other sellers were late, but this one arrived on time."
b193ff3c9f32a01f3a0d9ae26b94d244,"Tô completamente apaixonada, loja super responsável e confiável!",2018-08-10,"I'm completely in love, super responsible and reliable store!"
9fd59cd04b42f600df9f25e54082a8d1,Nada de chegar o meu pedido.,2017-04-21,None of my order arrived.
86c5cfa7fcbde303f704b60a78ced7d6,Muito bom. muito cheiroso.,2018-06-13,Very good. very fragrant.
890ec1767be8eb104877db6d68eaade5,"otimo vendedor chegou ate antes do prazo , adorei o produto",2017-05-13,"great seller arrived before the deadline, I loved the product"
7d9ac3e98adc0c8ad579e6a2257d79f9,Processo de compra tranquilo e eficiente.,2018-04-24,Smooth and efficient purchase process.
c41bd21983e298a240410ebb391bf075,Tomara q dure pois é de pelinho.,2017-05-19,I hope it lasts because it's furry.
e233e51d11511bf30e568c76360ace52,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",2018-01-28,"I received only 1 Midea Split STYLE control.
Missing Remote Control for Air Conditioning Consul"
6a0969d0769d2f3ff6438809a1cc455e,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",2017-06-02,"Everything went as contracted and the delivery was carried out before the deadline
 I am satisfied"
8a64945e89526e68bc16383391590232,"Amei achei lindo ,muito delicado adorei",2018-04-18,"I loved it, it was beautiful, very delicate, I loved it"
