x,y,cluster,sentiment,topic_proxy,review_id,model_key,dataset_key
-0.0026105642,-0.101457,3,positive,delivery,e64fb393e7b32834bb789ff8bb30750e,bertimbau,olist
0.16681737,0.02726397,5,positive,other,f7c4243c7fe1938f181bec41a392bdeb,bertimbau,olist
0.09591081,0.27254954,6,positive,other,8670d52e15e00043ae7de4c01cc2fe06,bertimbau,olist
-0.053720765,0.2840309,6,positive,price,4b49719c8a200003f700d3d986ea1a19,bertimbau,olist
-0.12476012,-0.2706763,3,positive,delivery,3948b09f7c818e2d86c9a546758b2335,bertimbau,olist
0.18715683,0.18472087,1,negative,other,9314d6f9799f5bfba510cc7bcd468c01,bertimbau,olist
0.05196408,0.18664218,5,positive,other,0e0190b9db53b689b285d3f3916f8441,bertimbau,olist
0.023648657,-0.07312155,3,positive,delivery,fe3db7c069d694bab50cc43463f91608,bertimbau,olist
-0.13780004,0.07910627,5,positive,price,e07eee7ad7666276bd8b27fbd83fd1ff,bertimbau,olist
0.20912284,0.08931796,5,negative,other,2c5e27fc178bde7ac173c9c62c31b070,bertimbau,olist
0.18757012,-0.08817816,1,negative,delivery,58044bca115705a48fe0e00a21390c54,bertimbau,olist
0.11117893,-0.15512973,1,positive,delivery,c92cdd7dd544a01aa35137f901669cdf,bertimbau,olist
-0.06548184,0.09014712,5,positive,other,b193ff3c9f32a01f3a0d9ae26b94d244,bertimbau,olist
-0.13890162,0.31459528,0,negative,other,9fd59cd04b42f600df9f25e54082a8d1,bertimbau,olist
-0.06965994,-0.062827885,5,positive,other,86c5cfa7fcbde303f704b60a78ced7d6,bertimbau,olist
0.013397343,-0.3090626,4,positive,delivery,890ec1767be8eb104877db6d68eaade5,bertimbau,olist
-0.27559397,0.22753444,0,positive,other,7d9ac3e98adc0c8ad579e6a2257d79f9,bertimbau,olist
-0.08226104,0.27985492,0,positive,other,c41bd21983e298a240410ebb391bf075,bertimbau,olist
0.2849767,0.1734734,6,negative,other,e233e51d11511bf30e568c76360ace52,bertimbau,olist
0.018732741,-0.14140421,4,positive,delivery,6a0969d0769d2f3ff6438809a1cc455e,bertimbau,olist
0.15250695,-0.120171964,5,positive,other,8a64945e89526e68bc16383391590232,bertimbau,olist
0.04581345,-0.14789882,4,positive,delivery,c0dbf9a325d2a2fece43873be47191e1,bertimbau,olist
-0.1546515,-0.03396681,5,positive,other,109b5ce2dd11bb8460eff3b86da6fefc,bertimbau,olist
0.29591674,0.06202568,1,negative,delivery,6d06808638ec0701bccd70bc8d462c28,bertimbau,olist
0.019300073,-0.21853027,4,positive,product,750d4311e8ddb6cba549ee86f06f0cca,bertimbau,olist
0.24734399,0.03221649,1,neutral,other,8b230a1373c6dc4bd867099fda1d7039,bertimbau,olist
-0.027929746,0.08203575,6,neutral,product,cb2fc3e5711b5ae85e0491ee18af63ed,bertimbau,olist
-0.22872847,0.15630117,2,negative,product,60c714ed14cef913944a3147094a4742,bertimbau,olist
0.23509875,0.0754254,6,positive,other,c45811d9f90e22a81155b3a1e4a5c2e8,bertimbau,olist
-0.39711234,0.066913396,3,neutral,delivery,0bd4dcc4f6c4621baf37f73495cad8c4,bertimbau,olist
-0.05476472,-0.120845646,3,positive,delivery,888f11883ff85fa5c07e6ae1192d85c4,bertimbau,olist
0.16167441,0.046867356,1,negative,support,65dfeb60c40e3cbb0a1838285d86f885,bertimbau,olist
-0.372372,0.25359535,0,positive,other,50a1eaa2f96d6f3e02d0cd68d92bab75,bertimbau,olist
0.15586478,-0.08020562,5,positive,other,97d4feff1fd7129bee6cde095b9dac2a,bertimbau,olist
-0.17603102,0.094034344,5,positive,other,1692078634b63c7f25aa90ee746ec498,bertimbau,olist
0.18850067,0.23788682,6,neutral,product,ff722b4c68783a4459a3adb9bb4e1d0d,bertimbau,olist
