x,y,cluster,sentiment,topic_proxy,review_id,model_key,dataset_key
-33.974686,47.00065,3,positive,delivery,e64fb393e7b32834bb789ff8bb30750e,bertimbau,olist
-3.8618524,-29.473255,5,positive,other,f7c4243c7fe1938f181bec41a392bdeb,bertimbau,olist
72.5855,-27.75174,6,positive,other,8670d52e15e00043ae7de4c01cc2fe06,bertimbau,olist
49.045376,-73.16969,6,positive,price,4b49719c8a200003f700d3d986ea1a19,bertimbau,olist
-60.404076,46.621513,3,positive,delivery,3948b09f7c818e2d86c9a546758b2335,bertimbau,olist
26.41475,-7.1227784,1,negative,other,9314d6f9799f5bfba510cc7bcd468c01,bertimbau,olist
-46.669106,-63.98474,5,positive,other,0e0190b9db53b689b285d3f3916f8441,bertimbau,olist
30.863287,43.80738,3,positive,delivery,fe3db7c069d694bab50cc43463f91608,bertimbau,olist
7.678991,-72.196815,5,positive,price,e07eee7ad7666276bd8b27fbd83fd1ff,bertimbau,olist
20.892962,-51.101364,5,negative,other,2c5e27fc178bde7ac173c9c62c31b070,bertimbau,olist
32.154743,39.045982,1,negative,delivery,58044bca115705a48fe0e00a21390c54,bertimbau,olist
21.944134,41.70323,1,positive,delivery,c92cdd7dd544a01aa35137f901669cdf,bertimbau,olist
-73.90119,-46.134712,5,positive,other,b193ff3c9f32a01f3a0d9ae26b94d244,bertimbau,olist
20.200302,75.10683,0,negative,other,9fd59cd04b42f600df9f25e54082a8d1,bertimbau,olist
13.885981,-67.89276,5,positive,other,86c5cfa7fcbde303f704b60a78ced7d6,bertimbau,olist
-35.920467,-35.425873,4,positive,delivery,890ec1767be8eb104877db6d68eaade5,bertimbau,olist
-97.560684,20.971083,0,positive,other,7d9ac3e98adc0c8ad579e6a2257d79f9,bertimbau,olist
25.933287,-21.226469,0,positive,other,c41bd21983e298a240410ebb391bf075,bertimbau,olist
89.35964,-27.842293,6,negative,other,e233e51d11511bf30e568c76360ace52,bertimbau,olist
-28.78318,-14.318223,4,positive,delivery,6a0969d0769d2f3ff6438809a1cc455e,bertimbau,olist
13.7409935,-84.47233,5,positive,other,8a64945e89526e68bc16383391590232,bertimbau,olist
-4.4393954,-22.125776,4,positive,delivery,c0dbf9a325d2a2fece43873be47191e1,bertimbau,olist
-25.801897,-77.60351,5,positive,other,109b5ce2dd11bb8460eff3b86da6fefc,bertimbau,olist
47.500134,5.5109444,1,negative,delivery,6d06808638ec0701bccd70bc8d462c28,bertimbau,olist
-22.570103,-4.2829022,4,positive,product,750d4311e8ddb6cba549ee86f06f0cca,bertimbau,olist
49.457764,70.574234,1,neutral,other,8b230a1373c6dc4bd867099fda1d7039,bertimbau,olist
5.504475,54.22805,6,neutral,product,cb2fc3e5711b5ae85e0491ee18af63ed,bertimbau,olist
-0.10075202,39.90343,2,negative,product,60c714ed14cef913944a3147094a4742,bertimbau,olist
24.646982,-80.642975,6,positive,other,c45811d9f90e22a81155b3a1e4a5c2e8,bertimbau,olist
-32.370625,101.677376,3,neutral,delivery,0bd4dcc4f6c4621baf37f73495cad8c4,bertimbau,olist
-39.055355,42.3223,3,positive,delivery,888f11883ff85fa5c07e6ae1192d85c4,bertimbau,olist
71.82164,38.367344,1,negative,support,65dfeb60c40e3cbb0a1838285d86f885,bertimbau,olist
-97.21108,39.29218,0,positive,other,50a1eaa2f96d6f3e02d0cd68d92bab75,bertimbau,olist
-47.486713,-44.282013,5,positive,other,97d4feff1fd7129bee6cde095b9dac2a,bertimbau,olist
-31.229486,-92.95145,5,positive,other,1692078634b63c7f25aa90ee746ec498,bertimbau,olist
86.78228,-33.0691,6,neutral,product,ff722b4c68783a4459a3adb9bb4e1d0d,bertimbau,olist
-53.968254,20.705189,4,positive,delivery,8055e963f26f70c406ca517b2c2848e6,bertimbau,olist
90.63416,-14.638378,6,negative,other,ae728c1061bf163b4bd256ad9ee0bb83,bertimbau,olist
-44.059547,-47.225357,4,positive,delivery,41926e45719f9b923357ea3bb222195f,bertimbau,olist
93.181114,-0.9115552,6,negative,other,72730619a00e0ecdecf0a4ff862d8996,bertimbau,olist
74.04706,46.556816,1,positive,product,c5d83c2523ef15209c8faf5133a7bafb,bertimbau,olist
-17.672497,-34.935677,4,positive,delivery,766fc608e4f2683020fb0a121d9db23e,bertimbau,olist
-12.512147,80.2384,0,negative,delivery,5c37d7ba6ef2f031c34bb4fda3454018,bertimbau,olist
-55.69252,31.170492,4,positive,delivery,83414f98136ce687f7eb69e555b2519c,bertimbau,olist
24.485638,41.990986,1,neutral,delivery,46d8249ea59101c7288936c3e6f155d7,bertimbau,olist
6.202,49.627605,0,negative,other,346317f9aff540395fe46893611854f8,bertimbau,olist
-33.315063,-83.889496,5,positive,other,2685a4800004a12ec09d27264ff1915f,bertimbau,olist
11.274515,-68.667496,4,positive,product,a55012f5c7e74353e92986be15d133b6,bertimbau,olist
92.40721,3.4172645,6,negative,other,487f8ff16eaf366dc7c01652202048c3,bertimbau,olist
41.43454,49.20855,1,negative,delivery,ef8ae544c432bb1053ba5990bd0d6227,bertimbau,olist
84.99918,-11.068319,6,negative,other,aaab917291fea34988b9a0cb60e0716f,bertimbau,olist
7.9125323,-29.390099,6,positive,other,3f73914ab5fc1cd68ad6757c93644349,bertimbau,olist
-100.67186,-27.04768,2,positive,product,e2fd85e5df711bd91e6e96e13c741843,bertimbau,olist
-74.03241,-61.04652,2,positive,price,42ae74a43661be8587b2e2db054179db,bertimbau,olist
-22.38062,-61.047203,5,positive,delivery,79927442ebcbf70b2021e1339bb9a51b,bertimbau,olist
68.90305,-38.242924,6,positive,product,14613df954694f243dedeaa2c8a3a5c2,bertimbau,olist
3.8177269,59.233936,0,negative,other,5f938e5f5f2e9a75710b54feeb9ea610,bertimbau,olist
30.271456,19.464706,1,negative,product,d7ea05bb4f9c77d606fd90b1a27e317d,bertimbau,olist
58.670467,49.61776,1,negative,delivery,185cb85ede91009d7a8e685687c037ee,bertimbau,olist
27.530344,-7.7736053,6,positive,price,0c9b6ca9b3beaf0fd5d621f63844ea01,bertimbau,olist
-22.859806,-22.215328,4,positive,delivery,c399eafa15aafaecdd1d9008f5b34ed6,bertimbau,olist
13.2872095,-84.35775,5,positive,other,8ef36616bef00398b6e413c124f436c8,bertimbau,olist
65.309746,12.983868,1,neutral,support,57e994485c2ebd293e4fa9cd62e5bb96,bertimbau,olist
-66.092926,-64.29112,2,positive,product,59d95e0b5b52d038dc3a022b7c912969,bertimbau,olist
